V	R	G	B
0.7625	1.0	0.95	0.0
0.766666667	1.0	0.933333333333	0.0
0.770833333	1.0	0.916666666667	0.0
0.775	1.0	0.9	0.0
0.779166667	1.0	0.883333333333	0.0
0.783333333	1.0	0.866666666667	0.0
0.7875	1.0	0.85	0.0
0.791666667	1.0	0.833333333333	0.0
0.795833333	1.0	0.816666666667	0.0
0.8	1.0	0.8	0.0
0.804166667	1.0	0.783333333333	0.0
0.808333333	1.0	0.766666666667	0.0
0.8125	1.0	0.75	0.0
0.816666667	1.0	0.733333333333	0.0
0.820833333	1.0	0.716666666667	0.0
0.825	1.0	0.7	0.0
0.829166667	1.0	0.683333333333	0.0
0.833333333	1.0	0.666666666667	0.0
0.8375	1.0	0.65	0.0
0.841666667	1.0	0.633333333333	0.0
0.845833333	1.0	0.616666666667	0.0
0.85	1.0	0.6	0.0
0.854166667	1.0	0.583333333333	0.0
0.858333333	1.0	0.566666666667	0.0
0.8625	1.0	0.55	0.0
0.866666667	1.0	0.533333333333	0.0
0.870833333	1.0	0.516666666667	0.0
0.875	1.0	0.5	0.0
0.879166667	1.0	0.483333333333	0.0
0.883333333	1.0	0.466666666667	0.0
0.8875	1.0	0.45	0.0
0.891666667	1.0	0.433333333333	0.0
0.895833333	1.0	0.416666666667	0.0
0.9	1.0	0.4	0.0
0.904166667	1.0	0.383333333333	0.0
0.908333333	1.0	0.366666666667	0.0
0.9125	1.0	0.35	0.0
0.916666667	1.0	0.333333333333	0.0
0.920833333	1.0	0.316666666667	0.0
0.925	1.0	0.3	0.0
0.929166667	1.0	0.283333333333	0.0
0.933333333	1.0	0.266666666667	0.0
0.9375	1.0	0.25	0.0
0.941666667	1.0	0.233333333333	0.0
0.945833333	1.0	0.216666666667	0.0
0.95	1.0	0.2	0.0
0.954166667	1.0	0.183333333333	0.0
0.958333333	1.0	0.166666666667	0.0
0.9625	1.0	0.15	0.0
0.966666667	1.0	0.133333333333	0.0
0.970833333	1.0	0.116666666667	0.0
0.975	1.0	0.1	0.0
0.979166667	1.0	0.0833333333333	0.0
0.983333333	1.0	0.0666666666667	0.0
0.9875	1.0	0.05	0.0
0.991666667	1.0	0.0333333333333	0.0
0.995833333	1.0	0.0166666666667	0.0
1.0	1.0	0.0	0.0
